Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Udaan,8.1,2010,Vikramaditya Motwane,Drama,"Expelled school , 16-year old boy returns home abusive oppressive father .",Drama
Gangs of Wasseypur,8.2,2012,Anurag Kashyap,Action,"A clash Sultan Shahid Khan leads expulsion Khan Wasseypur , ignites deadly blood feud spanning three generations .","Action, Comedy, Crime"
Like Stars on Earth,8.3,2007,Aamir Khan,Drama,"An eight-year-old boy thought lazy trouble-maker , new art teacher patience compassion discover real problem behind struggles school .","Drama, Family"
Dev.D,7.9,2009,Anurag Kashyap,Comedy,"After breaking childhood sweetheart , young man finds solace drugs . Meanwhile , teenage girl caught world prostitution . Will destroyed , fin ... Read","Comedy, Drama, Romance"
Swades,8.2,2004,Ashutosh Gowariker,Drama,A successful Indian scientist returns Indian village take nanny America process rediscovers roots .,"Drama, Musical"
3 Idiots,8.4,2009,Rajkumar Hirani,Comedy,"Two friends searching long lost companion . They revisit college days recall memories friend inspired think differently , even rest ... Read","Comedy, Drama"
OMG: Oh My God!,8.1,2012,Umesh Shukla,Comedy,A shopkeeper takes God court shop destroyed earthquake .,"Comedy, Drama, Fantasy"
Rang De Basanti,8.1,2006,Rakeysh Omprakash Mehra,Comedy,"The story six young Indians assist English woman film documentary freedom fighters past , events lead relive long-forgotten saga f ... Read","Comedy, Crime, Drama"
Omkara,8.0,2006,Vishal Bhardwaj,Action,A politically-minded enforcer 's misguided trust lieutenant leads suspect wife infidelity adaptation Shakespeare 's 'Othello ' .,"Action, Crime, Drama"
Pink,8.1,2016,Aniruddha Roy Chowdhury,Crime,"When three young women implicated crime , retired lawyer steps forward help clear names .","Crime, Drama, Thriller"
Talvar,8.1,2015,Meghna Gulzar,Crime,An experienced investigator confronts several conflicting theories perpetrators violent double homicide .,"Crime, Drama, Mystery"
Chak De! India,8.1,2007,Shimit Amin,Drama,"Kabir Khan , coach Indian Women 's National Hockey Team , dreams making all-girls team emerge victorious odds .","Drama, Family, Sport"
Black,8.1,2005,Sanjay Leela Bhansali,Drama,"The cathartic tale young woman ca n't see , hear , speak , teacher brings ray light dark world .",Drama
Andaz Apna Apna,8.0,1994,Rajkumar Santoshi,Action,Two slackers competing affections heiress inadvertently become protectors evil criminal .,"Action, Comedy, Romance"
Laal Rang,7.8,2016,Syed Ahmad Afzal,Comedy,The friendship two men tested things go wrong blood theft business .,"Comedy, Crime, Drama"
Drishyam,8.2,2015,Nishikant Kamat,Crime,"Desperate measures taken man tries save family dark side law , commit unexpected crime .","Crime, Drama, Mystery"
Dangal,8.3,2016,Nitesh Tiwari,Action,Former wrestler Mahavir Singh Phogat two wrestler daughters struggle towards glory Commonwealth Games face societal oppression .,"Action, Biography, Drama"
Black Friday,8.4,2004,Anurag Kashyap,Action,"A film investigations following 1993 serial Bombay bomb blasts , told different stories people involved -- police , conspirators , victims , middlemen .","Action, Crime, Drama"
Thirst,8.3,1957,Guru Dutt,Drama,"Vijay , talented indigent poet , struggles love recognition selfish world .","Drama, Musical, Romance"
Jaane Bhi Do Yaaro,8.3,1983,Kundan Shah,Comedy,"Two photographers , employed magazine editor expose scandalous activities rich , come across corruption builder accidentally photograph murder .","Comedy, Crime, Drama"
A Wednesday,8.1,2008,Neeraj Pandey,Action,A retiring police officer reminisces astounding day career . About case never filed continues haunt memories - case man Wedne ... Read,"Action, Crime, Drama"
Dil Chahta Hai,8.1,2001,Farhan Akhtar,Comedy,"Three inseparable childhood friends college . Nothing comes - fall love , wildly different approaches relationships creates tension ... Read","Comedy, Drama, Romance"
PK,8.1,2014,Rajkumar Hirani,Comedy,An alien Earth loses device use communicate spaceship . His innocent nature child-like questions force country evaluate impact religious views ... Read,"Comedy, Drama, Sci-Fi"
Mother India,7.8,1957,Mehboob Khan,Action,"In melodrama , poverty-stricken woman raises sons many trials tribulations . But matter struggles , always sticks moral code .","Action, Comedy, Drama"
Anand,8.1,1971,Hrishikesh Mukherjee,Drama,"The story terminally ill man wishes live life fullest inevitable occurs , told best friend .","Drama, Musical"
Gol Maal,8.5,1979,Hrishikesh Mukherjee,Comedy,A man 's simple lie secure job escalates complex lies orthodox boss gets suspicious .,"Comedy, Romance"
Chupke Chupke,8.3,1975,Hrishikesh Mukherjee,Comedy,A newly wedded husband plays practical joke wife 's family full support wife friends .,"Comedy, Drama, Romance"
Guide,8.3,1965,Vijay Anand,Drama,"When mistaken sage villagers , ex-tour guide reflects past lost love search spiritual wisdom guide villagers .","Drama, Romance"
Khosla Ka Ghosla!,8.2,2006,Dibakar Banerjee,Comedy,A Delhi-based retired middle-class man tries half-heartedly get land back swindling property dealer help sons friends .,"Comedy, Crime, Drama"
Shahid,8.2,2012,Hansal Mehta,Biography,"The account Human Rights lawyer Shahid Azmi , ordinary citizen extraordinary commitment justice .","Biography, Drama"
Mughal-E-Azam,8.1,1960,K. Asif,Drama,A 16th century prince falls love court dancer battles emperor father .,"Drama, Romance, War"
Paan Singh Tomar,8.2,2012,Tigmanshu Dhulia,Action,"The story Paan Singh Tomar , Indian athlete seven-time national steeplechase champion becomes one feared dacoits Chambal Valley retirement .","Action, Biography, Crime"
Hera Pheri,8.2,2000,Priyadarshan,Action,"Three unemployed men look answers money problems - opportunity arrives , know ?","Action, Comedy, Crime"
Queen,8.1,2013,Vikas Bahl,Adventure,A Delhi girl traditional family sets solo honeymoon marriage gets cancelled .,"Adventure, Comedy, Drama"
Jo Jeeta Wohi Sikandar,8.1,1992,Mansoor Khan,Comedy,"A rich brat poor chap try woo girl , rivalry culminating prestigious college event - marathon cycle race .","Comedy, Drama, Romance"
Satya,8.3,1998,Ram Gopal Varma,Action,An innocent man embroiled underworld falsely charged sets punish perpetrators subjected life misery .,"Action, Crime, Drama"
Bhaag Milkha Bhaag,8.2,2013,Rakeysh Omprakash Mehra,Biography,"The truth behind ascension Milkha Singh , scarred India-Pakistan partition .","Biography, Drama, Sport"
The Legend of Bhagat Singh,8.1,2002,Rajkumar Santoshi,Action,The story young revolutionary raised armed resistance British rule India .,"Action, Biography, Drama"
Manjhi: The Mountain Man,8.0,2015,Ketan Mehta,Biography,"Using hammer chisel , man spends twenty-two years carving road treacherous mountain .","Biography, Drama"
Neerja,7.6,2016,Ram Madhvani,Biography,"The story courageous Neerja Bhanot , sacrificed life protecting lives 359 passengers Pan Am Flight 73 1986 hijacked terrorist organization .","Biography, Drama, Thriller"
M.S. Dhoni: The Untold Story,8.0,2016,Mathur Goswami,Biography,The untold story Mahendra Singh Dhoni 's journey ticket collector trophy collector - world-cup-winning captain Indian Cricket Team .,"Biography, Drama, Sport"
No One Killed Jessica,7.2,2011,Raj Kumar Gupta,Biography,"A journalist , activist teams sister murdered model , gets interested case wants bring justice case .","Biography, Crime, Drama"
Manto,7.3,2018,Nandita Das,Biography,The film biographical account writer Saadat Hasan Manto 's life set 1940s India .,"Biography, Drama"
Ek Doctor Ki Maut,8.3,1990,Tapan Sinha,Biography,"After years painstaking research cost domestic pleasure , Dr. Dipankar Roy discovers vaccine leprosy . The news flashed television overnight , insignifican ... Read","Biography, Drama"
Soorma,7.3,2018,Shaad Ali,Biography,"Soorma story triumph human spirit , player , made headlines miraculous comeback facing near death experience sheer determination , hard ... Read","Biography, Drama, Sport"
"Gandhi, My Father",7.3,2007,Feroz Abbas Khan,Biography,The account troubled relationship Mahatma Gandhi eldest son .,"Biography, Drama, History"
Harishchandrachi Factory,8.4,2009,Paresh Mokashi,Biography,"In 1913 India 's cinema industry born Dadasaheb Phalke 's efforts make Raja Harishchandra ( 1913 ) , India 's first feature-length B & W silent film .","Biography, Comedy, Drama"
Rakta Charitra,7.6,2010,Ram Gopal Varma,Action,A killer bandit decides become politician order avenge deaths family .,"Action, Biography, Crime"
Super 30,7.9,2019,Vikas Bahl,Biography,Based life Patna-based mathematician Anand Kumar runs famed Super 30 program IIT aspirants Patna .,"Biography, Drama"
Aligarh,7.8,2015,Hansal Mehta,Biography,"A gay , linguistic professor living small orthodox city must deal aftermath sting operation puts sexual orientation front entire nation .","Biography, Crime, Drama"
Saand Ki Aankh,7.5,2019,Tushar Hiranandani,Biography,"Both age 60 , Chandro Tomar Prakashi Tomar inspire women India demonstrate expert sharpshooting skills .","Biography, Drama"
Mary Kom,6.8,2014,Omung Kumar,Action,"A chronicle life Indian boxer Mary Kom , went several hardships audaciously accomplishing ultimate dream .","Action, Biography, Drama"
Tanhaji: The Unsung Warrior,7.5,2020,Om Raut,Action,"Tanhaji Malusare , military chieftain army Maratha king Shivaji , leads charge capture strategically important Kondhana fort guarded army fierce Rajput ... Read","Action, Biography, Drama"
Bandit Queen,7.5,1994,Shekhar Kapur,Action,The story bandit queen Phoolan Devi sent prison 1983 got free 1994 .,"Action, Biography, Crime"
Rang Rasiya,7.0,2008,Ketan Mehta,Biography,A look life 19th century Indian painter Raja Ravi Varma .,"Biography, Drama, Romance"
Sarbjit,7.3,2016,Omung Kumar,Biography,"Biopic Sarabjit Singh , farmer residing Bhikiwind , Punjab , near Indo-Pak border , crossed border couple drinks . However , mistaken Indian spy ... Read","Biography, Drama"
Omerta,7.1,2017,Hansal Mehta,Action,"A recounting story infamous British-born terrorist Ahmed Omar Saeed Sheikh , kidnapped murdered Wall Street Journal reporter Daniel Pearl 2002 .","Action, Biography, Crime"
Kaagaz,7.3,2021,Satish Kaushik,Biography,A satirical comedy common man struggle goes prove existence falsely declared dead government records .,"Biography, Comedy, Drama"
Viruddh... Family Comes First,7.0,2005,Mahesh Manjrekar,Drama,An ordinary 60 plus couple - Vidhyadhar Patwardhan wife forced search faith human values society death son Amar . In process u ... Read,"Drama, Family"
Veer-Zaara,7.8,2004,Yash Chopra,Drama,"`` Veer-Zaara '' saga love , separation , courage , sacrifice . A love story inspiration remain legend forever .","Drama, Family, Musical"
Toolsidas Junior,7.4,2022,Mridul Toolsidas,Drama,"Watching father lose 1994 Club Snooker Championship , 13-year-old Midi takes impossible journey bring father 's name Winner 's Board .","Drama, Family, Sport"
The Blue Umbrella,7.3,2005,Vishal Bhardwaj,Comedy,"In small village little girl 's prescious umbrella stolen , things goes wrong greedy tea seller much interested buying umbrella .","Comedy, Drama, Family"
Tapasya,7.2,1976,Anil Ganguly,Drama,"The oldest daughter old ailing man falls love doctor treating father , mother doctor insists girl must leave everything stay wit ... Read","Drama, Family"
Stanley Ka Dabba,7.8,2011,Amole Gupte,Comedy,"A school-teacher , forces children share food , forbids one entering school brings Tiffin/Lunch-box .","Comedy, Drama, Family"
Silsila,7.2,1981,Yash Chopra,Drama,"SILSILA love story , thwarted society 's demands , reappears adultery survive face society ?","Drama, Family, Romance"
Shubh Nikah,7.2,2023,Arshad Siddiqui,Comedy,"Families two different cultures join hands come together love , humanity , peace strong message national integrity","Comedy, Drama, Family"
Shri Krishna Leela,7.9,1971,Homi Wadia,Adventure,"Maharaj Kans rules Mathura lives lavish wealthy lifestyle . He gets sister , Devki , married Vasudev , shortly marriage finds Devki 's 8th child kill ... Read","Adventure, Comedy, Drama"
Sharmaji Namkeen,7.5,2022,Hitesh Bhatia,Comedy,A light-hearted coming-of-age story lovable 60-year-old-man .,"Comedy, Drama, Family"
Saudagar,7.4,1973,Sudhendu Roy,Drama,A calculative man schemes deceit poor young widow personal monetary gains .,"Drama, Family"
Sansar,8.0,1951,S.S. Vasan,Drama,"A struggling clerk lives wife two children . Their blissful life threatened arrival scheming mother sister . A short time later , clerk disappears , aband ... Read","Drama, Family"
Sanjh Aur Savera,7.2,1964,Hrishikesh Mukherjee,Drama,"Dr. Shankar Chaudhry lives wealthy lifestyle Bombay widowed mom , Rukmini , younger sister , Manju . His mom would like get married Ambala-based Advocate Madhusudan 's ... Read","Drama, Family"
Saanjh,8.1,2017,Ajay K Saklanni,Drama,"When Saanjh 's father sends away live grandmother remote village , feels dejected tries escape . However time bond grandmother becomes stron ... Read","Drama, Family"
Ribbon,6.9,2017,Rakhee Sandilya,Drama,A young working urban couple overwhelmed birth baby girl find parenthood comes challenges .,"Drama, Family"
Pyaasa Sawan,7.4,1981,Dasari Narayana Rao,Family,"While looking employment , Chandrakant mistaken son wealthy landlord Prabhudas , wants marry daughter , Shanti . By time find truth , ... Read","Family, Romance"
